iter	RMSE
370	0.09807672212
371	0.09801524914
372	0.09774958903
373	0.09767077373
374	0.09754955182
375	0.09743554011
376	0.09741479034
377	0.0973750886
378	0.0972049234
379	0.09693370769
380	0.09668450932
381	0.09651684144
382	0.09640094363
383	0.0960840702
384	0.09595753331
385	0.09572741481
386	0.09568413309
387	0.09548578545
388	0.09517768474
389	0.0951088299
390	0.09493167242
391	0.09490539328
392	0.09475396138
393	0.09461771475
394	0.09434130883
395	0.09427896625
396	0.09413997859
397	0.09411710944
398	0.09403535938
399	0.09388951431
400	0.09377620689
401	0.0935491642
402	0.09329325528
403	0.09322609516
404	0.09303918589
405	0.09294581485
406	0.09285206472
407	0.09255425231
408	0.0924202799
409	0.09214482899
410	0.0920846859
411	0.09181385626
412	0.09167332915
413	0.09164973109
414	0.09153488795
415	0.09150216827
416	0.09136364585
417	0.09122724068
418	0.09105688922
419	0.09090602327
420	0.09076292266
421	0.0906389986
422	0.09042010069
423	0.09037798346
424	0.09033680072
425	0.0903128134
426	0.09006356378
427	0.08996989836
428	0.08979896767
429	0.08974223644
430	0.08966390919
431	0.08953828149
432	0.08930682323
433	0.0892581309
434	0.08905042834
435	0.08893525123
436	0.08873154567
437	0.08868868953
438	0.08866654346
439	0.08866135986
440	0.08849725857
441	0.08838249624
442	0.0883602675
443	0.08813734536
444	0.08790702475
445	0.08788535648
446	0.08785689062
447	0.0876521803
448	0.0875216908
449	0.08733788477
450	0.0873208084
451	0.08718587603
452	0.08698510364
453	0.08684405818
454	0.08679412697
455	0.08677034861
456	0.0866169096
457	0.08659941586
458	0.08650186159
459	0.08631858417
460	0.08621313183
461	0.08598664144
462	0.08586227782
463	0.08574790455
464	0.08563807628
465	0.0855542544
466	0.08538000284
467	0.08535949787
468	0.08534278659
469	0.08523647358
470	0.08511528277
471	0.08489122053
472	0.08473110751
473	0.08468430456
474	0.08452121474
475	0.08441660943
476	0.08434133455
477	0.08431206478
478	0.08426208198
479	0.08409553903
480	0.08399263815
481	0.08386506981
482	0.08378127557
483	0.0837420735
484	0.08366807061
485	0.08352154522
486	0.08348855863
487	0.08343733028
488	0.08342120598
489	0.08320607399
490	0.08313906626
491	0.08307598526
492	0.08301332898
493	0.08287400183
494	0.0827144984
495	0.08269852334
496	0.08258294355
497	0.08235577329
498	0.08230407044
499	0.08208169349
500	0.08206346664
501	0.08197950015
502	0.08187150192
503	0.08168695853
504	0.08148649643
505	0.08133368801
506	0.08118757575
507	0.08107531672
508	0.08093147597
509	0.08082713707
510	0.08079085963
511	0.08075385895
512	0.08073924095
513	0.08069467089
514	0.08066938849
515	0.08059849243
516	0.08053759041
517	0.08036840748
518	0.08035502655
519	0.08032772902
520	0.08024340102
521	0.08021890848
522	0.08010022416
523	0.08001021199
524	0.07990484971
525	0.07977917245
526	0.07966088596
527	0.07953560964
528	0.07952196498
529	0.07940037191
530	0.07928165686
531	0.07918807164
532	0.07917233392
533	0.07906951885
534	0.07901716796
535	0.0788601538
536	0.07877170914
537	0.07860289033
538	0.07855646306
539	0.07842176514
540	0.07837845398
541	0.07828533597
542	0.07821097555
543	0.07812949212
544	0.07807705234
545	0.07792819952
546	0.07785362558
547	0.07766225987
548	0.07751679936
549	0.07743349494
550	0.07738042101
551	0.07726775854
552	0.07723184136
553	0.07717929037
554	0.07700144605
555	0.07689223607
556	0.07677908801
557	0.07659717489
558	0.07648580604
559	0.07636130734
560	0.0763483963
561	0.07623288871
562	0.07609357027
563	0.07592141757
564	0.07580200476
565	0.07575156327
566	0.07561777326
567	0.07550112324
568	0.07537278705
569	0.07520244595
570	0.07513092798
571	0.07500303644
572	0.07497559542
573	0.07491114308
574	0.07482908476
575	0.07475970346
576	0.07475509048
577	0.07463563049
578	0.07458284355
579	0.0744815083
580	0.0744035946
581	0.07430007042
582	0.07418957885
583	0.0740962042
584	0.07405032514
585	0.07401200148
586	0.07389307742
587	0.07386345129
588	0.07379242139
589	0.07373584233
590	0.07369022854
591	0.07367235674
592	0.07362523687
593	0.07348630155
594	0.07342463092
595	0.07341228882
596	0.07337884431
597	0.07328498722
598	0.07327368903
599	0.07323364214
600	0.07309628115
601	0.07307684424
602	0.07300321782
603	0.07294623401
604	0.07292200267
605	0.07289115781
606	0.07275979213
607	0.07267463158
608	0.07257575683
609	0.07245537305
610	0.07236869274
611	0.07231821308
612	0.07230781731
613	0.07228682616
614	0.07222699072
615	0.0721063295
616	0.07209159584
617	0.07202824923
618	0.07189312877
619	0.07183490007
620	0.07172759952
621	0.07167173362
622	0.07160178226
623	0.07152676897
624	0.07139919731
625	0.07131826309
626	0.07119489893
627	0.07114906394
628	0.07109772031
629	0.07100673241
630	0.0708932379
631	0.07083546957
632	0.07069104431
633	0.07064354729
634	0.07059016127
635	0.07052403381
636	0.07050244423
637	0.07039191647
638	0.0703111255
639	0.0702767817
640	0.07020388628
641	0.07010303263
642	0.07007917659
643	0.06994884946
644	0.06986634347
645	0.06978585938
646	0.06970222197
647	0.06966225037
648	0.06963543981
649	0.06957908206
650	0.06950982899
651	0.06946964068
652	0.06942541589
653	0.06930811951
654	0.0691893337
655	0.06911407316
656	0.06900339383
657	0.06890722582
658	0.06889606808
659	0.06883628711
660	0.06874795358
661	0.06869183156
662	0.06866186727
663	0.06855333714
664	0.06849210824
665	0.06839307172
666	0.06830334145
667	0.06823552486
668	0.06815598471
669	0.06808284068
670	0.06807276723
671	0.06796846055
672	0.06795001634
673	0.06785292268
674	0.06777596231
675	0.06773441946
676	0.06762305883
677	0.06755139769
678	0.06751590874
679	0.06741433054
680	0.06735509338
681	0.0672980849
682	0.06727567813
683	0.06724395425
684	0.06714735809
685	0.06710066835
686	0.0670629148
687	0.06705138257
688	0.06700458972
689	0.06700090491
690	0.06693401272
691	0.06687563947
692	0.06683771554
693	0.06681394913
694	0.06677620309
695	0.06671124324
696	0.06667006118
697	0.06659093907
698	0.06655880048
699	0.06650124055
700	0.0664205876
701	0.0663652775
702	0.06633561933
703	0.06627277084
704	0.06624561259
705	0.06620002357
706	0.06615852026
707	0.06607157756
708	0.06604142937
709	0.0659923514
710	0.06590531692
711	0.06582571259
712	0.06573766763
713	0.06568131607
714	0.06559276937
715	0.06554631911
716	0.0654718742
717	0.06543461886
718	0.06535489446
719	0.06532813252
720	0.0653182979
721	0.06526935167
722	0.06523582738
723	0.06518159492
724	0.06512716304
725	0.06508171765
726	0.06504234185
727	0.06500090272
728	0.06496803463
729	0.06484855621
730	0.06477642695
731	0.06476366455
732	0.06474797972
733	0.06472098918
734	0.06465553807
735	0.06457742631
736	0.06450144245
737	0.06443062123
738	0.06441547591
739	0.06440594184
740	0.0643618513
741	0.06431362572
742	0.0642368291
743	0.06419089447
744	0.06415134172
745	0.06405593238
746	0.06397566693
747	0.06389450134
748	0.06386468339
749	0.06378086433
750	0.06375516737
751	0.0637470109
752	0.06366980916
753	0.06363840736
754	0.06360503958
755	0.06352581771
756	0.06347056667
757	0.06344079566
758	0.0634289972
759	0.06335711368
760	0.0633387874
761	0.06327495521
762	0.06321836638
763	0.06320550216
764	0.06318930153
765	0.0631855697
766	0.06313661914
767	0.06310337031
768	0.06307425366
769	0.06301345132
770	0.06297700125
771	0.06295669626
772	0.06287161738
773	0.06277401342
774	0.06275168414
775	0.06269748653
776	0.06266825714
777	0.06265475656
778	0.06260093543
779	0.06259565066
780	0.06252624682
781	0.06247145194
782	0.06240910515
783	0.06239798127
784	0.06239176782
785	0.06237018391
786	0.06231612988
787	0.06231064372
788	0.06227853064
789	0.06226767381
790	0.06225990525
791	0.06220988647
792	0.06218494839
793	0.06216624876
794	0.06208468007
795	0.06204723114
796	0.06198167009
797	0.06190331344
798	0.06189607455
799	0.06184270351
800	0.061776155
801	0.06170246867
802	0.06162492942
803	0.06158062282
804	0.06154347901
805	0.06149401374
806	0.0614507666
807	0.06140587969
808	0.06140438971
809	0.06135814167
810	0.06131881721
811	0.06128555656
812	0.06121567089
813	0.06118444851
814	0.06117682018
815	0.06114164199
816	0.06107291353
817	0.06103771978
818	0.06098159742
819	0.06096203937
820	0.06092884934
821	0.06087981968
822	0.0608327321
823	0.06076496212
824	0.0607319118
825	0.06068554947
826	0.06062112991
827	0.06056122761
828	0.06053169829
829	0.0605060554
830	0.06046953648
831	0.06044222611
832	0.06037620839
833	0.06032258805
834	0.06030843504
835	0.06026494663
836	0.06023505155
837	0.06016630804
838	0.0601625745
839	0.06015626728
840	0.06010227255
841	0.06007571467
842	0.05999163648
843	0.05995067471
844	0.05991943978
845	0.05989612133
846	0.0598933577
847	0.05986585371
848	0.05982423903
849	0.05975479834
850	0.05967529568
851	0.05966095562
852	0.05965148979
853	0.05961721162
854	0.05958827298
855	0.05956989539
856	0.05953736392
857	0.05949655825
858	0.05947782477
859	0.05942459456
860	0.05939071159
861	0.05935883333
862	0.05935706371
863	0.05928417807
864	0.05922660034
865	0.05919962435
866	0.05917539689
867	0.05917238544
868	0.05910747234
869	0.05907969843
870	0.05906919577
871	0.05905231096
872	0.05899688907
873	0.05897895055
874	0.05896678301
875	0.05891571629
876	0.05886655222
877	0.05883351618
878	0.05881389469
879	0.05881154254
880	0.0587891983
881	0.05872716067
882	0.05868447879
883	0.05868177889
884	0.05863839249
885	0.0585860034
886	0.05854551081
887	0.05852743063
888	0.05848596994
889	0.05846249961
890	0.05845093552
891	0.05839042746
892	0.05837236033
893	0.05833305316
894	0.05825770878
895	0.05825557927
896	0.05821497493
897	0.05819382057
898	0.05818572332
899	0.05814550685
900	0.05809569117
901	0.05808348399
902	0.05806851652
903	0.05806592631
904	0.05805488668
905	0.05801186507
906	0.05796491678
907	0.05796256221
908	0.05792786218
909	0.05786713566
910	0.05782311644
911	0.05780575203
912	0.05779492929
913	0.05774569056
914	0.05768627582
915	0.05766511827
916	0.05762795958
917	0.05762559073
918	0.05758005985
919	0.05751856894
920	0.05750216498
921	0.05747279145
922	0.05744816605
923	0.05740533603
924	0.05739632586
925	0.05733646839
926	0.0572927959
927	0.05724159583
928	0.05723900522
929	0.05722828999
930	0.05719924535
931	0.05716700342
932	0.0571276425
933	0.05710243148
934	0.05709446664
935	0.05706623859
936	0.05704949944
937	0.0570239113
938	0.05698273054
939	0.05693213799
940	0.05690970491
941	0.05689038399
942	0.05688840625
943	0.05687979666
944	0.05682948955
945	0.05682352713
946	0.05679080994
947	0.05677664116
948	0.05672290294
949	0.05670644708
950	0.05666876206
951	0.05661832151
952	0.05656345631
953	0.05652515607
954	0.05652196991
955	0.05649120204
956	0.05647180405
957	0.05643731052
958	0.05639677689
959	0.05635715883
960	0.05631135255
961	0.05627209882
962	0.05621163831
963	0.05617891398
964	0.0561620162
965	0.05612940771
966	0.05609963936
967	0.05608236408
968	0.05604572288
969	0.05600053719
970	0.05595954097
971	0.05591639119
972	0.05586929568
973	0.05586711192
974	0.05583530493
975	0.05579054786
976	0.05574136326
977	0.05569999247
978	0.0556922156
979	0.0556629576
980	0.05562126454
981	0.05558205101
982	0.05555563659
983	0.05552235831
984	0.05549769671
985	0.05544234607
986	0.05544022559
987	0.05542710555
988	0.05539788143
989	0.05538694306
990	0.05535944233
991	0.05534241122
992	0.0553184302
993	0.05531647525
994	0.05526956038
995	0.05524872765
996	0.0552241758
997	0.05519753121
998	0.05519181964
999	0.05514205708
